hersteller,modell,generation,fahrzeugbezeichnung,baujahr,kraftstoffart,verbrauch_l_pro_100_km,tankgroesse_1,adac_url,adac_modell_url,adac_generation_url
Mazda,MX-5,ND Facelift,Mazda MX-5 1.5 SKYACTIV-G 132 Homura (10/23 - 06/24),2023,Super,6.3,45.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/nd-facelift/330347/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/nd-facelift/
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV R-EV Ad´vantage (02/23 - 01/25),2023,Strom / Super,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/327045/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
Mazda,MX-5,ND Facelift,Mazda MX-5 1.5 SKYACTIV-G 132 Kazari (10/23 - 06/24),2023,Super,6.3,45.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/nd-facelift/330346/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/nd-facelift/
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV R-EV Exclusive-Line (02/23 - 01/25),2023,Strom / Super,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/327046/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
Mazda,MX-5,ND Facelift,Mazda MX-5 1.5 SKYACTIV-G 132 Exclusive-Line (ab 09/25),2025,Super,6.2,45.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/nd-facelift/346940/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/nd-facelift/
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV R-EV Makoto (01/25 - 01/26),2025,Strom / Super,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/338195/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV R-EV Edition R (02/23 - 01/25),2023,Strom / Super,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/327048/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV EV Makoto (04/22 - 12/24),2022,Strom,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/324449/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV R-EV Makoto Plus (01/25 - 01/26),2025,Strom / Super,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/338193/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
Mazda,MX-5,ND Facelift,Mazda MX-5 1.5 SKYACTIV-G 132 Exclusive-Line (06/24 - 09/25),2024,Super,6.2,45.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/nd-facelift/335954/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/nd-facelift/
